layer,head,kind,pca_dim,correlation,p_value,explained_variance_ratio
0,0,q,0,-0.02266723206753355,0.7500338668490019,0.6208721995353699
0,0,q,1,-0.0594865219282852,0.4027417346567655,0.19285985827445984
0,0,q,2,-0.04083851074911204,0.565857308163751,0.0613676980137825
0,0,q,3,-0.09560841358568002,0.17807069043690768,0.03728511929512024
0,0,q,4,-0.03852413056587852,0.5880943160377423,0.03251492232084274
